timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1747866106713,5,Sign In,200,OK,Thread Group 1-5,text,true,,3925,595,6,6,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=EWCqxcGaMN67PFo4-CEr_0JhVNY3RGuXKRSTVA7D.ppss?signonForm=,5,0,0
1747866107068,5,Main-Catalog,200,OK,Thread Group 1-6,text,true,,5717,460,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,5,0,0
1747866107410,11,Sign Out,200,OK,Thread Group 1-2,text,true,,5249,1061,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,6,0,0
1747866107410,6,Sign Out-0,302,Found,Thread Group 1-2,,true,,330,535,6,6,http://localhost:8080/jpetstore/actions/Account.action?signoff=,6,0,0
1747866107417,4,Sign Out-1,200,OK,Thread Group 1-2,text,true,,4919,526,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1747866107531,4,Home,200,OK,Thread Group 1-7,text,true,,1497,251,5,5,http://localhost:8080/jpetstore/,2,0,1
1747866107531,2,Home-0,302,Found,Thread Group 1-7,,true,,146,125,5,5,http://localhost:8080/jpetstore,2,0,1
1747866107533,2,Home-1,200,OK,Thread Group 1-7,text,true,,1351,126,5,5,http://localhost:8080/jpetstore/,2,0,0
1747866107900,5,Reptiles,200,OK,Thread Group 1-3,text,true,,3712,282,5,5,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES&viewCategory=&categoryId=REPTILES,5,0,0
1747866108389,13,Login,200,OK,Thread Group 1-4,text,true,,5262,1605,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,7,0,0
1747866108389,7,Login-0,302,Found,Thread Group 1-4,,true,,193,930,6,6,http://localhost:8080/jpetstore/actions/Account.action,7,0,0
1747866108396,6,Login-1,200,OK,Thread Group 1-4,text,true,,5069,675,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,6,0,0
1747866108650,3,Sign In,200,OK,Thread Group 1-6,text,true,,3923,595,6,6,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=EWCqxcGaMN67PFo4-CEr_0JhVNY3RGuXKRSTVA7D.ppss?signonForm=,3,0,0
1747866109131,5,Main-Catalog,200,OK,Thread Group 1-7,text,true,,5717,460,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,5,0,0
1747866109473,5,Sign Out,200,OK,Thread Group 1-3,text,true,,5249,1061,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1747866109473,2,Sign Out-0,302,Found,Thread Group 1-3,,true,,330,535,6,6,http://localhost:8080/jpetstore/actions/Account.action?signoff=,2,0,0
1747866109475,3,Sign Out-1,200,OK,Thread Group 1-3,text,true,,4919,526,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1747866109591,6,Home,200,OK,Thread Group 1-8,text,true,,1497,251,5,5,http://localhost:8080/jpetstore/,4,0,1
1747866109591,4,Home-0,302,Found,Thread Group 1-8,,true,,146,125,5,5,http://localhost:8080/jpetstore,4,0,1
1747866109595,2,Home-1,200,OK,Thread Group 1-8,text,true,,1351,126,5,5,http://localhost:8080/jpetstore/,2,0,0
1747866109974,4,Reptiles,200,OK,Thread Group 1-4,text,true,,3712,282,5,5,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES&viewCategory=&categoryId=REPTILES,4,0,0
1747866110302,7,Login,200,OK,Thread Group 1-5,text,true,,5262,1605,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1747866110302,4,Login-0,302,Found,Thread Group 1-5,,true,,193,930,6,6,http://localhost:8080/jpetstore/actions/Account.action,4,0,0
1747866110306,3,Login-1,200,OK,Thread Group 1-5,text,true,,5069,675,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1747866110656,3,Sign In,200,OK,Thread Group 1-7,text,true,,3925,595,6,6,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=EWCqxcGaMN67PFo4-CEr_0JhVNY3RGuXKRSTVA7D.ppss?signonForm=,2,0,0
1747866111156,5,Main-Catalog,200,OK,Thread Group 1-8,text,true,,5717,460,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,5,0,0
1747866111527,5,Home,200,OK,Thread Group 1-9,text,true,,1497,251,6,6,http://localhost:8080/jpetstore/,3,0,1
1747866111527,3,Home-0,302,Found,Thread Group 1-9,,true,,146,125,6,6,http://localhost:8080/jpetstore,3,0,1
1747866111530,2,Home-1,200,OK,Thread Group 1-9,text,true,,1351,126,6,6,http://localhost:8080/jpetstore/,2,0,0
1747866111549,4,Sign Out,200,OK,Thread Group 1-4,text,true,,5249,1061,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1747866111549,2,Sign Out-0,302,Found,Thread Group 1-4,,true,,330,535,6,6,http://localhost:8080/jpetstore/actions/Account.action?signoff=,2,0,0
1747866111551,2,Sign Out-1,200,OK,Thread Group 1-4,text,true,,4919,526,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1747866111877,3,Reptiles,200,OK,Thread Group 1-5,text,true,,3712,282,5,5,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES&viewCategory=&categoryId=REPTILES,3,0,0
1747866112211,17,Login,200,OK,Thread Group 1-6,text,true,,5262,1605,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,9,0,0
1747866112211,9,Login-0,302,Found,Thread Group 1-6,,true,,193,930,6,6,http://localhost:8080/jpetstore/actions/Account.action,9,0,0
1747866112221,7,Login-1,200,OK,Thread Group 1-6,text,true,,5069,675,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,7,0,0
1747866112714,4,Sign In,200,OK,Thread Group 1-8,text,true,,3925,595,6,6,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=EWCqxcGaMN67PFo4-CEr_0JhVNY3RGuXKRSTVA7D.ppss?signonForm=,4,0,0
1747866113117,3,Main-Catalog,200,OK,Thread Group 1-9,text,true,,5717,460,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1747866113430,10,Sign Out,200,OK,Thread Group 1-5,text,true,,5249,1061,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,6,0,0
1747866113430,6,Sign Out-0,302,Found,Thread Group 1-5,,true,,330,535,6,6,http://localhost:8080/jpetstore/actions/Account.action?signoff=,6,0,0
